nom_operateur,nom_enseigne
Bouygues Énergies et Services,Reveo
Bouygues Énergies et Services,Révéo
Bouygues Énergies et Services,SARTHE IRVE
Bouygues Énergies et Services,Seymaborne (SEY78)
Bouygues Énergies et Services,Vauclus Elec
Bouygues Énergies et Services,non_renseigné
CHARGEPOLY,CHARGEPOLY
ELECTRA,ELECTRA
ELECTRIC 55 CHARGING,ELECTRIC 55 CHARGING
EVBOX,Hötel Orchidées S.A.R.L Céline
Easycharge services,Easycharge services
Eco-Pi,CENTRE DE REEDUCATION DE L'OISEAU BLANC
Eco-Pi,EDEN PARK HOTEL RESTAURANT
Eco-Pi,HOTEL RESTAURANT CAZAUDEHORE
Eco-Pi,LE RELAIS DE MONTIGNY
Eco-Pi,NOVALOU
Eco-Pi,VAL SERVICES
Electromaps,Aubade - Comptoir des Fers
Electromaps,Carrefour Contact 
Electromaps,Domaine de Fompeyre
Electromaps,Favret Automobiles
Electromaps,Le COTONNIER NIEPPE
Fastned,Fastned
Freshmile,Morbihan Energies
Freshmile,Réseau de recharge DOMAINE DES BUFFLONNES
Freshmile,STATIONS-E
Freshmile SAS,Freshmile
Freshmile SAS,Mobisdec
Green To Wheel,ALLEGO
HABT,Hotel Ibis Styles Toulouse Blagnac Aéroport
Hostellerie,Charge parking
Izivia,AVIA PICOTY
Izivia,AVIA TD
Izivia,Arcachon
Izivia,CPS
Izivia,Ecocharge77
Izivia,Flex-E
Izivia,GARENNE
Izivia,GRAND LYON
Izivia,GRAND NANCY
Izivia,Izivia Express
Izivia,LEVAPARC
Izivia,MAMP
Izivia,MOBIVE LA DIEGE
Izivia,MobiVE
Izivia,OUEST CHARGE - 22
Izivia,Ouest Charge
Izivia,Rambouillet Territoires
Izivia,SHELL
Izivia,SYDER
Izivia,Sigeif
Izivia,Sixt
Izivia,Unibail
Izivia,WiiiZ
Kallista BDR,YAWAY Recharge
LANGON DISTRIBUTION,BBJ Mazères
LANGON DISTRIBUTION,Centre Auto Leclerc Langon
LMS Informatique,LMS Informatique
Last Mile Solutions,Last Mile Solutions
Leclerc Millau,Leclerc Millau
MAS DES OLIVES,MAS DES OLIVES
Modulo énergies,Modulo
NEXTENEO,CLUB MED
NEXTENEO,GALILEO
NEXTENEO,MOULINS D'ASCQ
NM SECURELEC,Le Morgane
Normatech Lodmi,Bornes de recharge AC Candas
Plageco Distribution,E. Leclerc
Plageco Distribution,Leclerc Express Labouheyre
Power Dot France,Power Dot France
QOVOLTIS,LABODENT
QOVOLTIS,QOVOLTIS
QoWatt,QoWatt
R3,R3
Royal Champagne,Royal Champagne Hotel & Spa
SA FOOTBALL CLUB DES GIRONDINS DE BORDEAUX,SA FOOTBALL CLUB DES GIRONDINS DE BORDEAUX
SGA Industries,Réseau de recharge Brasserie Castelain
SGA Industries,Réseau de recharge Bulle de Linge
SGA Industries,Réseau de recharge DEBELEC
SGA Industries,Réseau de recharge L2B
SGA Industries,Réseau de recharge Sogestran
SIEGE 27,SIEGE100
SIEGE 27,SIEGE102
SIEGE 27,SIEGE104
SIEGE 27,SIEGE106
SIEGE 27,SIEGE107
SIEGE 27,SIEGE109
SIEGE 27,SIEGE111
SIEGE 27,SIEGE113
SIEGE 27,SIEGE115
SIEGE 27,SIEGE117
SIEGE 27,SIEGE119
SIEGE 27,SIEGE121
SIEGE 27,SIEGE124
SIEGE 27,SIEGE125
SIEGE 27,SIEGE128
SIEGE 27,SIEGE130
SIEGE 27,SIEGE132
SIEGE 27,SIEGE134
SIEGE 27,SIEGE136
SIEGE 27,SIEGE138
SIEGE 27,SIEGE140
SIEGE 27,SIEGE141
SIEGE 27,SIEGE144
SIEGE 27,SIEGE146
SIEGE 27,SIEGE147
SIEGE 27,SIEGE150
SIEGE 27,SIEGE152
SIEGE 27,SIEGE154
SIEGE 27,SIEGE155
SIEGE 27,SIEGE157
SIEGE 27,SIEGE159
SIEGE 27,SIEGE162
SIEGE 27,SIEGE164
SIEGE 27,SIEGE166
SIEGE 27,SIEGE168
SIEGE 27,SIEGE170
SIEGE 27,SIEGE172
SIEGE 27,SIEGE174
SIEGE 27,SIEGE175
SIEGE 27,SIEGE177
SIEGE 27,SIEGE179
SIEGE 27,SIEGE181
SIEGE 27,SIEGE184
SIEGE 27,SIEGE185
SIEGE 27,SIEGE187
SIEGE 27,SIEGE189
SIEGE 27,SIEGE191
SIEGE 27,SIEGE193
SIEGE 27,SIEGE196
SIEGE 27,SIEGE199
SIEGE 27,SIEGE201
SIEGE 27,SIEGE204
SIEGE 27,SIEGE205
SIEGE 27,SIEGE207
SIEGE 27,SIEGE209
SIEGE 27,SIEGE212
SIEGE 27,SIEGE214
SIEGE 27,SIEGE216
SIEGE 27,SIEGE218
SIEGE 27,SIEGE220
SIEGE 27,SIEGE222
SIEGE 27,SIEGE224
SIEGE 27,SIEGE226
SIEGE 27,SIEGE228
SIEGE 27,SIEGE229
SIEGE 27,SIEGE232
SIEGE 27,SIEGE234
SIEGE 27,SIEGE236
SIEGE 27,SIEGE238
SIEGE 27,SIEGE240
SIEGE 27,SIEGE242
SIEGE 27,SIEGE244
SIEGE 27,SIEGE246
SIEGE 27,SIEGE247
SIEGE 27,SIEGE250
SIEGE 27,SIEGE252
SIEGE 27,SIEGE253
SIEGE 27,SIEGE254
SIEGE 27,SIEGE256
SIEGE 27,SIEGE258
SIEGE 27,SIEGE260
SIEGE 27,SIEGE261
SIEGE 27,SIEGE263
SIEGE 27,SIEGE265
SIEGE 27,SIEGE268
SIEGE 27,SIEGE270
SIEGE 27,SIEGE272
SIEGE 27,SIEGE274
SIEGE 27,SIEGE276
SIEGE 27,SIEGE278
SIEGE 27,SIEGE28
SIEGE 27,SIEGE280
SIEGE 27,SIEGE281
SIEGE 27,SIEGE284
SIEGE 27,SIEGE286
SIEGE 27,SIEGE288
SIEGE 27,SIEGE290
SIEGE 27,SIEGE292
SIEGE 27,SIEGE294
SIEGE 27,SIEGE30
SIEGE 27,SIEGE32
SIEGE 27,SIEGE34
SIEGE 27,SIEGE36
SIEGE 27,SIEGE38
SIEGE 27,SIEGE40
SIEGE 27,SIEGE42
SIEGE 27,SIEGE44
SIEGE 27,SIEGE46
SIEGE 27,SIEGE48
SIEGE 27,SIEGE50
SIEGE 27,SIEGE52
SIEGE 27,SIEGE54
SIEGE 27,SIEGE55
SIEGE 27,SIEGE57
SIEGE 27,SIEGE59
SIEGE 27,SIEGE62
SIEGE 27,SIEGE64
SIEGE 27,SIEGE66
SIEGE 27,SIEGE68
SIEGE 27,SIEGE70
SIEGE 27,SIEGE72
SIEGE 27,SIEGE74
SIEGE 27,SIEGE76
SIEGE 27,SIEGE78
SIEGE 27,SIEGE80
SIEGE 27,SIEGE82
SIEGE 27,SIEGE84
SIEGE 27,SIEGE86
SIEGE 27,SIEGE90
SIEGE 27,SIEGE92
SIEGE 27,SIEGE94
SIEGE 27,SIEGE96
SIEGE 27,SIEGE98
SPBR1,eborn
SPIE CityNetworks,Be Cablé
SPIE CityNetworks,Métropolis
SPIE CityNetworks,SIEG63
SPIE CityNetworks,SYDELA
SPIE CityNetworks,SYDEV
SPIE CityNetworks,Siéml
SPIE CityNetworks,Territoire d'Énergie Mayenne
Securecharge,Securecharge
Sodetrel,Super U
Sodetrel,WiiiZ
Sorégies,AlterBase
TANAY Electricité,Riviera Car Center
Tesla France,Supercharger Tesla
Total marketing france,e-charge50
TotalEnergies,Accor Hotels
TotalEnergies,Atelier de l'Aluminium Chanopost
TotalEnergies,BEST WESTERN NANTES
TotalEnergies,BMW
TotalEnergies,BMW EPINAL
TotalEnergies,BMW METZ
TotalEnergies,BMW SARREBOURG
TotalEnergies,Belib'
TotalEnergies,CHALLANS AUTOMOBILES
TotalEnergies,DA COSTA AUTOMOBILES
TotalEnergies,F.B SERVICE
TotalEnergies,GARAGE PEUGEOT CUCIS
TotalEnergies,HOTEL VAL DE VIENNE
TotalEnergies,IBIS BUDGET AEROPORT DE LYON
TotalEnergies,IBIS MONT DE MARSAN
TotalEnergies,INTERPARKING
TotalEnergies,INTERPARKING 
TotalEnergies,KIA COLMAR CAR AVENUE
TotalEnergies,KIA EPINAL
TotalEnergies,KIA FORBACH
TotalEnergies,KIA HAGUENAU
TotalEnergies,KIA METZ
TotalEnergies,KIA MULHOUSE
TotalEnergies,L.R. Participations
TotalEnergies,LOUVRE HOTELS GROUP
TotalEnergies,MERCURE ALBI
TotalEnergies,METROPOLE D'AIX-MARSEILLE-PROVENCE
TotalEnergies,PSA Agents France
TotalEnergies,RIESTER BEAUVAIS
TotalEnergies,RIESTER BUSSY
TotalEnergies,RIESTER COULOMMIERS
TotalEnergies,RIESTER MEAUX
TotalEnergies,RIESTER SAINT MAXIMIN
TotalEnergies,Renault Agents France
TotalEnergies,Résidence les Primevères
TotalEnergies,SAEMES
TotalEnergies,SAMSE - ERP BASSENS-Parking magasin
TotalEnergies,SAMSE - ERP COMBOIRE
TotalEnergies,SCI GADMP
TotalEnergies,TERRITOIRE D'ENERGIE ORNE
TotalEnergies,Total Charge Rapide
TotalEnergies,VIKING CASINOS
TotalEnergies,VIKINGS CASINO FREJUS
TotalEnergies,VIKINGS CASINO SANARY SUR MER
TotalEnergies,WARNING
TotalEnergies, VIKINGS CASINO BUSSANG
VINCI Autoroutes,VINCI Autoroutes
Virta,Groupama supports et services 
Virta,Réseau de recharge Virta Public
electromaps,Ligue Occitanie Basketball
evzen (SMEG Développement),Simone
evzen (SMEG Développement),evzen
evzen (SMEG Développement),larecharge
total énergie,enedis
